Name,TotalTime,RecipeCategory,Keywords,RecipeIngredientParts,RecipeInstructions,Calories
Buko (Young Coconut) Pie,PT1H15M,Pie,"c(""Dessert"", ""Tropical Fruits"", ""Fruit"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""all-purpose flour"", ""salt"", ""water"", ""coconut meat"", ""white sugar"", ""evaporated milk"", ""cornstarch"", ""cheese"")","c(""To prepare the crust:."", ""Combine flour and salt. Blend in oil thoroughly using a fork. Sprinkle with water. Continue \""cutting\"" with a fork until flour mixture forms tiny lumps. Form flour mixture into a ball."", ""Divide dough into 2 equal portions. Roll out to make 2 crusts. Cover bottom of pie pan with one crust. Cut excess."", ""Prick bottom pastry all over with fork. Bake in preheated oven at 450°F for 12-15 minutes or until golden brown"", ""To prepare the filling:"", ""Combine all ingredients except cheese and cook over low heat. Continue stirring until thick. Pour mixture into pastry-lined pie pan."", 
""Top filling with the second crust. Seal ends all around with a fork."", ""Bake at 400 °F until top crust turns golden brown. Sprinkle grated cheese on top."", ""Bake for additional 5 minutes."", ""Serve hot or cold."")",448.6
Bringhe (Filipino Paella),PT50M,One Dish Meal,"c(""Whole Chicken"", ""Chicken"", ""Poultry"", ""Rice"", ""Meat"", ""Filipino"", ""Asian"", ""Spicy"", ""Weeknight"", ""< 60 Mins"", ""Stove Top"", ""Stir Fry"")","c(""onion"", ""garlic cloves"", ""green chilies"", ""chicken"", ""chorizo sausage"", ""ginger"", ""glutinous rice"", ""long grain rice"", ""cayenne pepper"", ""nam pla"", ""shrimp paste"", ""coconut milk"", ""bay leaf"", ""salt"", ""red bell peppers"", ""hard-boiled eggs"")","c(""Heat the oil in a large wok or shallow frying pan, and stir fry the onions, garlic and the chilies for two minutes."", ""Add the chicken pieces and fry until chicken is browned on all sides, Add the chorizo and ginger. Stir fry for 1 minute and then add the rice and cayenne pepper."", ""Stir thoroughly and stir fry for one minute. Add the nam pla and the coconut milk. Bring to a boil then add the bay leaf. Stir again thoroughly."", ""Lower the heat and cover with aluminum foil. Put the lid on top of the foil tightly and simmer for 20-25 minutes."", 
""Uncover and adjust the seasonings. Lay the bell peppers on top of the rice and again cover tightly. Allow the dish to rest covered for 5 minutes. Garnish with the egg quarters."")",1141.7
Pork Hamonado,PT3H25M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Stove Top"", ""< 4 Hours"")","c(""pineapple chunks"", ""soy sauce"", ""brown sugar"")","c(""Mix the pineapple juice, sugar, and soy sauce in a large bowl."", ""Cut the pork into fairly large cubes, about 2\"", and marinate pork with the pineapple juice, sugar, and soy sauce mixture for about 1 to 3 hours."", ""Remove the pork from the marinade and set the remaining mixture aside."", ""Heat the oil in a pan and fry the marinated pork until the meat turns light brown (approximately 3 to 5 minutes)."", ""Pour in the remaining marinade mixture together with the pineapple chunks and simmer for 10 to 15 minutes.  Add salt and pepper to taste."", 
""We usually serve this with jasmine rice."")",538.5
Kamote Que,PT15M,Lunch/Snacks,"c(""Yam/Sweet Potato"", ""Potato"", ""Vegetable"", ""Filipino"", ""Asian"", ""Low Protein"", ""< 15 Mins"", ""Stove Top"", ""Easy"")","c(""sweet potato"", ""brown sugar"")","c(""Peel the sweet potato and slice into 1/2\""-thick rounds."", ""Heat the oil in a medium-sized saucepan; when it's hot, add the brown sugar to the oil.  I know it's weird - but it works  :)."", ""When the brown sugar floats, add the slice sweet potato and fry about 10 minutes, turning every once in a while to get the brown sugar all over the potato."", ""When the potato is tender, remove from pan and let it cool off a few minutes - that sugar is HOT."", ""You can serve this on a plate, or on a bamboo skewer.""
)",1049
Maja Blanca (Creamy Milk Pudding),PT40M,Dessert,"c(""Lunch/Snacks"", ""Filipino"", ""Asian"", ""Low Protein"", ""Sweet"", ""< 60 Mins"", ""Inexpensive"")","c(""coconut milk"", ""sweetened condensed milk"", ""white sugar"", ""milk"", ""water"", ""cornstarch"", ""corn kernel"", ""flaked coconut"", ""coconut flakes"")","c(""In a large sauce pan, bring the coconut milk to a soft boil over medium heat."", ""When the coconut milk is starting to boil, add the condensed milk and sugar. Stir the mixture until it is well blended. Let it simmer for about 8-10 minutes."", ""In a separate bowl, mix the fresh milk and cornstarch together. Stir until the milk and cornstarch are well blended."", ""After 8-10 minutes of simmering,slowly add the cornstarch mixture to the coconut milk mixture while continuously stirring the mixture."", 
""When it is well blended,add the corn kernels, if desired."", ""Continue to stir the mixture over medium heat until you reach your desired consistency."", ""Pour in to an aluminum tray or any container of your choice. Greasing the container slightly with butter is optional."", ""Top it with coconut flakes."", ""Let it cool for at least an hour before slicing."")",381.7
Mechado,PT2H,Filipino,"c(""Asian"", ""< 4 Hours"")","c(""beef"", ""garlic cloves"", ""onion"", ""potatoes"", ""carrots"", ""lemon juice"", ""soy sauce"", ""salt"", ""peppercorns"", ""tomato sauce"", ""bay leaf"", ""water"")","c(""•\tBrown meat in cooking oil. set aside."" , ""•\tIn same oil sauté garlic and onion."" , ""•\tAdd lemon, soy sauce, peppercorn, tomato sauce, bay leaf and  salt."" , ""•\tSsimmer for a few minutes then add water."" , ""•\tAdd potatoes and carrot."" , ""•\tCover and simmer until all ingredients are tender."" )",1169.6
Filipino Style Fried Calamares,PT40M,Squid,"c(""No Shell Fish"", ""Filipino"", ""Asian"", ""Savory"", ""Weeknight"", ""< 60 Mins"", ""Deep Fried"", ""Stove Top"")","c(""squid"", ""eggs"", ""plain flour"", ""fresh lime juice"", ""salt"", ""pepper"", ""mayonnaise"")","c(""Clean the Squid, remove the head, ink sacs and tentacles discarded, outer purple skin peeled off and do not cut squid open."", ""Slice squid into ½ inch rings. Marinate in lime juice for about 25 minutes."", ""beat eggs."", ""Dip squid rings in eggs, then dredge in flour."", ""Heat oil in a wok and fry squid rings in hot oil a few pieces at a time until they turn golden yellow, about 1 minute. Do not overcook as this will make the squid tough."", ""Remove squid rings from the wok and drain on paper towels. Season with salt and pepper."", 
""Serve with Mayonnaise as an appetizer."")",662.1
Easy Leche Flan,PT1H20M,Dessert,"c(""Filipino"", ""Asian"", ""Sweet"", ""Weeknight"", ""< 4 Hours"", ""Inexpensive"")","c(""dark brown sugar"", ""water"", ""sweetened condensed milk"", ""evaporated milk"", ""vanilla"")","c(""Caramel:."", ""Put brown sugar and water in a saucepan. Caramelize on high heat. It will be ready when you see big bubbles popping and the texture is thick."", ""Line cake tin with caramel. Be sure to line the sides of the pan. A tip  for getting the caramel to stick to the sides is to line it and then throw it in the freezer for a few minutes."", ""Custard:."", ""Blend all ingredients in a big bowl with a hand mixer or spoon as not to create bubbles."", ""Pour mixture into caramel lined cake pan."", ""Cover with aluminum foil."", 
""Place tin in a larger baking pan half filled with water."", ""Place pan in pre-heated oven at 350 degrees and bake flan for about 1 hour or until firm."", ""Take the foil off in the last 5 minutes of baking."", ""Place serving deep dish over top of the cake pan, and invert. Flan will easily plate, and the caramel provides a wonderful sauce."")",267.2
Instant Salabat (Ginger Tea),PT1H30M,Beverages,"c(""Breakfast"", ""Vegetable"", ""Filipino"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Winter"", ""Weeknight"", ""Brunch"", ""For Large Groups"", ""Beginner Cook"", ""Small Appliance"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""fresh ginger"", ""water"")","c(""Peel off the ginger."", ""Wash and drain."", ""Cut into small thin strips."", ""Put one cup of ginger strips in the blender or food processor."", ""Add one cup of water."", ""Cover and blend in high speed for 2 minutes."", ""Strain and squeeze off the juice into a container."", ""Repeat the procedure using the juice extracted instead of water until all the ginger strips are blended."", ""Mix extracted ginger juice concentrate and 1 kilo  sugar in a non stick pan."", ""Put in high heat and reduce the when the mixture starts boiling."", 
""Stir until the mixture becomes very thick."", ""Reduce heat during this stage and continue stirring until you achieve a moist powdery mixture."", ""Turn off the heat and continue stirring until the product becomes a little bit cooler and powderized."", ""Let cool and transfer in a dry sterilized bottle or jar."", ""For one cup of tea, mix one tablespoon of ginger tea powder in a cup of hot water."")",116.8
Homestyle Chicken and Vegetable Casserole (Nilaga),PT40M,Stew,"c(""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 60 Mins"", ""Easy"")","c(""chicken"", ""onion"", ""water"", ""potatoes"", ""plantains"", ""fish sauce"", ""salt"", ""pepper"", ""cabbage"")","c(""Place chicken and onion in a large casserole and pour in the water. Bring to a boil, then lower heat to medium and simmer for 20 minute."", ""Add the potatoes and simmer for 5 minutes. Add the plantains and simmer until the chicken,potatoes and plantains are tender, about 10 more minutes.Season with fish sauce, salt, and pepper. Add the cabbage and cook until just tender, about 2 minutes."", ""Serve soup hot with rice."")",647
Sirloin Steak Filipino-Style (Bistek Tagalog),PT50M,Meat,"c(""Filipino"", ""Asian"", ""Very Low Carbs"", ""Weeknight"", ""< 60 Mins"")","c(""beef sirloin"", ""lime juice"", ""onion"", ""soy sauce"", ""water"", ""red bell pepper"")","c(""Marinate the beef in half of the lime juice for 30 minutes."", ""Heat the oil in a frying pan and saute the onion until lightly browned. Set aside."", ""Drain the marinated beef slices and reserved the lime juice. Saute the beef in the same frying pan for 1-2 minutes on each side. Combine the remaining lime juice, soy sauce and water. Pour into the frying pan with the reserved lime juice."", ""Return the reserved onion rings to the pan and simmer for 1-2 minutes. Serve hot with rice."")",407.9
Braised Cabbage (Guisadong Repolyo),PT30M,Chicken Breast,"c(""Chicken Livers"", ""Chicken"", ""Pork"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Very Low Carbs"", ""Weeknight"", ""< 30 Mins"", ""Easy"")","c(""onion"", ""garlic cloves"", ""ground pork"", ""chicken livers"", ""chicken breasts"", ""cabbage"", ""water"", ""chicken bouillon cubes"", ""soy sauce"")","c(""Heat the oil in a wok or casserole. Saute the onions until transparent, 2-3 minutes. Add garlic and saute until fragrant, about 1 minute. Add the ground pork and saute until lightly browned. Add chicken livers and chicken breast and saute until almost cooked."", ""Stir in the sliced cabbage. Pour in water and add the bouillon cubes. Simmer over medium heat until cabbage is just tender, about 3 minutes. Season with soy sauce."")",269.3
Mais Con Hielo,PT5M,Dessert,"c(""Corn"", ""Vegetable"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 15 Mins"", ""Beginner Cook"", ""Easy"")","c(""sugar"", ""evaporated milk"")","c(""Set aside six dessert bowls or tall dessert glasses. Spoon 1/2 cup cream-style corn and 2 tablespoons sugar into each bowl or glass."", ""Pour 1/2 cup milk or cream into each bowl then top with the crushed ice."")",265.6
Traditional Lumpia,PT46M,Filipino,"c(""Asian"", ""< 60 Mins"", ""For Large Groups"")","c(""hamburger"", ""ground pork"", ""carrot"", ""onion"", ""green beans"", ""salt"", ""pepper"", ""soy sauce"", ""garlic"", ""egg"", ""lumpia skins"", ""cabbage"", ""ginger"")","c(""Mix ingredients and microwave small amount of filling for 45 sec - 1 minute."", ""Taste and spice up as necessary."", ""Place small amount on top 1/3rd of lumpia wrapper make like a small meat log. fold top of wrapper over meat, fold in sides and roll the rest of the way sealing with the egg."", ""Fry in 350-375 degree in vegetable oil."", ""Dip in Thai sweet chili garlic sauce."", ""Freeze remainder on cookie sheet, then separate and place in freezer bag."")",110.8
Mom's Filipino Escabeche,PT45M,Filipino,"c(""Asian"", ""Low Cholesterol"", ""Healthy"", ""< 60 Mins"")","c(""salmon fillet"", ""water"", ""salt"", ""soy sauce"", ""vinegar"", ""sugar"", ""peppercorns"", ""ground pepper"", ""garlic cloves"", ""sweet onion"", ""ginger"", ""carrot"", ""red bell pepper"", ""cornstarch"")","c(""Fish:"", ""Use a large frying pan and put enough oil to cover the bottom with about 1/4 inch."", ""Pan fry the fish in the oil on medium heat. If you are using a fillet start with the flesh side down. You may need to score the skin of a whole fish in order to allow it to cook through."", ""Once the fish is fully cooked set aside some of the cooking oil and arrange the fish on a serving plate."", ""Sauce:"", ""Stir the water, vinegar, soy sauce, sugar, salt and pepper/pepper corns together in a mixing bowl."", 
""The mixture should have a strong flavor of balanced sweet, sour, and salty. Add additional sugar, vinegar and/or soy sauce until you achieve this balance. Then set aside."", ""Saute garlic in the reserved oil in a wok on medium-high heat until golden."", ""Add onion and saute until it is also golden."", ""Add ginger and saute until flavors blend."", ""Add carrots, stir briefly then add liquid mixture."", ""Mix sauce until flavors blend nicely."", ""Simmer approximately 1 minute."", ""Taste again and re-balance the flavors."", 
""Add bell pepper and corn starch mixture and stir together."", ""Simmer until reduced to about a cup."", ""Ladle the sauce over the fish and serve."")",193.2
Filipino Custard Chiffon Cake,PT1H30M,Dessert,"c(""Filipino"", ""Asian"", ""Healthy"", ""Sweet"", ""< 4 Hours"")","c(""sugar"", ""water"", ""fat-free evaporated milk"", ""sweetened condensed milk"", ""vanilla"", ""eggs"", ""cake flour"", ""sugar"", ""baking powder"", ""salt"", ""vanilla"", ""cream of tartar"")","c(""Combine ½ cup sugar and ½ cup of water in a frying pan. This will form the latik (caramel topping) layer in the final product."", ""Caramelize this mixture by stirring constantly over medium heat until it thickens to a thick syrup consistency and turns amber colored."", ""Pour caramelized sugar syrup into baking pan, and set it aside to cool."", ""Combine evaporated milk, condensed milk, 3 egg yolks, 2 whole eggs, and 1 tsp vanilla in a sauce pan and stir together. This will form the custard layer."", 
""Cook over low heat stirring continuously until it thickens to a yogurt-like consistency."", ""Pour the custard over the cooled latik."", ""At this point start preheating your oven to 350 degrees (Fahrenheit)."", ""Sift the flour, baking powder, salt and 1 cup of sugar together in a medium size mixing bowl."", ""Make a well in the dry ingredients and add the following in order: oil, 8 egg yolks, orange juice, and 1 tsp vanilla."", ""Stir this mixture together until smooth."", ""In another, larger, mixing bowl, combine the egg whites and cream of tartar,."", 
""Whisk the egg white mixture together until it combines and the mixture gets frothy."", ""Using either a whisk, if you have lots of stamina in your arms, or a hand mixer, continue to rapidly mix the egg whites until peaks begin to form."", ""Continuing to mix rapidly, slowly add the ½ cup of sugar, just a little at a time."", ""After sugar is incorporated, continue to mix rapidly until stiff peaks form."", ""Fold in the yolk mixture to the egg whites until well blended. This mixture will form the chiffon cake layer."", 
""Pour the batter of the chiffon on top of the custard mixture."", ""Place your baking pan into a larger pan with water; this will allow the cake/custard to steam as it bakes. If your baking pan leaks (for example, if you used a spring-form pan as I did), then you could put it into an oven safe steamer."", ""Bake and steam in the oven (at 350) for 50-70 minutes until golden brown. When it is done a toothpick inserted at the center of the cake should come out almost clean clean (slightly damp, but no batter or major crumbs)."", 
""Remove the cake from the oven and let cool completely before inverting."", ""Invert after fully cooled; depending on the pan you use, you may notice a depression form in the center; this won't affect the taste, and hopefully someone will comment with a way to avoid it; My only idea is to try using a tube pan, so there is no center to fall."")",519.8
